episode,scores
569,-10
570,-10
571,-10
572,-10
573,-10
574,-10
575,-10
576,-10
577,100
578,-10
579,-10
580,100
581,-10
582,-10
583,100
584,-10
585,100
586,100
587,100
588,100
589,-10
590,100
591,-10
592,-10
593,-10
594,-10
595,-10
596,-10
597,100
598,100
599,100
600,-10
601,100
602,-10
603,100
604,-10
605,100
606,-10
607,-10
608,100
609,100
610,-10
611,-10
612,-10
613,-10
614,100
615,100
616,-10
617,-10
618,-10
619,100
620,-10
621,-10
622,100
623,-10
624,100
625,-10
626,100
627,-10
628,-10
629,100
630,100
631,-10
632,-10
633,100
634,100
635,100
636,-10
637,-10
638,-10
639,-10
640,100
641,100
642,100
643,-10
644,-10
645,100
646,-10
647,-10
648,100
649,-10
650,100
651,-10
652,-10
653,-10
654,-10
655,100
656,100
657,-10
658,-10
659,-10
660,-10
661,-10
662,100
663,100
664,-10
665,100
666,100
667,-10
668,100
669,100
670,-10
671,100
672,100
673,-10
674,-10
675,100
676,100
677,-10
678,-10
679,100
680,-10
681,100
682,100
683,100
684,-10
685,-10
686,100
687,-10
688,100
689,100
690,-10
691,100
692,-10
693,100
694,-10
695,-10
696,100
697,100
698,100
699,100
700,100
701,-10
702,-10
703,-10
704,100
705,-10
706,-10
707,100
708,-10
709,-10
710,-10
711,-10
712,-10
713,-10
714,-10
715,-10
716,100
717,-10
718,-10
719,-10
720,-10
721,-10
722,-10
723,-10
724,100
725,-10
726,-10
727,-10
728,100
729,-10
730,100
731,100
732,-10
733,-10
734,100
735,-10
736,-10
737,-10
738,100
739,100
740,100
741,-10
742,100
743,-10
744,-10
745,-10
746,100
747,-10
748,-10
749,-10
750,100
751,-10
752,-10
753,-10
754,-10
755,-10
756,-10
757,-10
758,-10
759,100
760,-10
761,100
762,-10
763,-10
764,100
765,-10
766,-10
767,100
768,-10
769,-10
770,-10
771,100
772,100
773,-10
774,-10
775,-10
776,-10
777,100
778,100
779,100
780,100
781,100
782,-10
783,-10
784,-10
785,-10
786,-10
787,-10
788,100
789,-10
790,-10
791,100
792,-10
793,-10
794,-10
795,100
796,-10
797,100
798,-10
799,-10
800,100
801,100
802,100
803,-10
804,100
805,-10
806,-10
807,-10
808,-10
809,-10
810,100
811,-10
812,-10
813,-10
814,-10
815,100
816,-10
817,-10
818,100
819,-10
820,100
821,-10
822,-10
823,-10
824,100
825,100
826,-10
827,-10
828,-10
829,100
830,-10
831,-10
832,-10
833,-10
834,100
835,-10
836,-10
837,-10
838,-10
839,-10
840,-10
841,-10
842,-10
843,-10
844,100
845,-10
846,100
847,-10
848,-10
849,-10
850,-10
851,-10
852,100
853,-10
854,-10
855,-10
856,100
857,-10
858,-10
859,-10
860,-10
861,-10
862,100
863,-10
864,100
865,-10
866,100
867,-10
868,-10
869,-10
870,-10
871,-10
872,-10
873,-10
874,100
875,100
876,-10
877,-10
878,-10
879,-10
880,100
881,-10
882,-10
883,-10
884,-10
885,-10
886,-10
887,-10
888,-10
889,-10
890,-10
891,-10
892,100
893,100
894,-10
895,100
896,-10
897,100
898,-10
899,100
900,-10
901,-10
902,100
903,100
904,100
905,-10
906,-10
907,-10
908,-10
909,-10
910,-10
911,-10
912,-10
913,100
914,-10
915,100
916,-10
917,100
918,-10
919,100
920,-10
921,100
922,-10
923,-10
924,100
925,100
926,-10
927,-10
928,-10
929,-10
930,-10
931,100
932,-10
933,-10
934,100
935,-10
936,-10
937,-10
938,-10
939,-10
940,-10
941,-10
942,-10
943,-10
944,-10
945,100
946,-10
947,-10
948,-10
949,100
950,-10
951,-10
952,-10
953,-10
954,-10
955,-10
956,-10
957,100
958,100
959,-10
960,100
961,-10
962,100
963,100
964,-10
965,-10
966,-10
967,-10
968,100
969,-10
970,-10
971,-10
972,-10
973,-10
974,-10
975,-10
976,-10
977,-10
978,-10
979,-10
980,-10
981,100
982,-10
983,-10
984,-10
985,-10
986,-10
987,-10
988,-10
989,-10
990,100
991,-10
992,-10
993,-10
994,-10
995,-10
996,100
997,-10
998,-10
999,-10
1000,-10
1001,-10
1002,100
1003,-10
1004,-10
1005,100
1006,-10
1007,-10
1008,-10
1009,-10
1010,100
1011,-10
1012,100
1013,-10
1014,-10
1015,-10
1016,-10
1017,-10
1018,-10
1019,100
1020,-10
1021,-10
1022,-10
1023,-10
1024,-10
1025,-10
1026,-10
1027,100
1028,-10
1029,-10
1030,-10
1031,-10
1032,-10
1033,-10
1034,-10
1035,100
1036,100
1037,-10
1038,-10
1039,-10
1040,-10
1041,-10
1042,-10
1043,-10
1044,-10
1045,-10
1046,100
1047,-10
1048,-10
1049,-10
1050,100
1051,-10
1052,-10
1053,-10
1054,-10
1055,-10
1056,100
1057,-10
1058,-10
1059,-10
1060,-10
1061,-10
1062,-10
1063,100
1064,-10
1065,-10
1066,100
1067,-10
1068,100
1069,-10
1070,-10
1071,-10
1072,100
1073,100
1074,-10
1075,-10
1076,-10
1077,100
1078,-10
1079,-10
1080,-10
1081,-10
1082,-10
1083,-10
1084,-10
1085,-10
1086,-10
1087,-10
1088,100
1089,-10
1090,-10
1091,-10
1092,100
1093,-10
1094,-10
1095,-10
1096,-10
1097,-10
1098,-10
1099,-10
1100,-10
1101,100
1102,-10
1103,100
1104,-10
1105,-10
1106,-10
1107,100
1108,-10
1109,100
1110,100
1111,-10
1112,100
1113,-10
1114,-10
1115,-10
1116,100
1117,100
1118,-10
1119,-10
1120,-10
1121,-10
1122,-10
1123,-10
1124,-10
1125,-10
1126,-10
1127,100
1128,-10
1129,-10
1130,-10
1131,100
1132,-10
1133,-10
1134,-10
1135,-10
1136,-10
1137,-10
1138,100
1139,-10
1140,-10
1141,100
1142,-10
1143,-10
1144,-10
1145,100
1146,-10
1147,100
1148,-10
1149,100
1150,-10
1151,-10
1152,100
1153,-10
1154,100
1155,-10
1156,-10
1157,-10
1158,-10
1159,-10
1160,-10
1161,-10
1162,-10
1163,100
1164,-10
1165,100
1166,100
1167,100
1168,100
1169,-10
1170,-10
1171,-10
1172,-10
1173,-10
1174,-10
1175,100
1176,100
1177,-10
1178,-10
1179,-10
1180,100
1181,-10
1182,-10
1183,-10
1184,-10
1185,-10
1186,-10
1187,-10
1188,100
1189,100
1190,100
1191,100
1192,-10
1193,-10
1194,-10
1195,100
1196,-10
1197,-10
1198,-10
1199,-10
1200,100
1201,-10
1202,-10
1203,-10
1204,100
1205,100
1206,-10
1207,100
1208,100
1209,-10
1210,100
1211,-10
1212,100
1213,100
1214,-10
1215,-10
1216,100
1217,-10
1218,-10
1219,-10
1220,-10
1221,-10
1222,-10
1223,-10
1224,-10
1225,-10
1226,100
1227,-10
1228,-10
1229,100
1230,100
1231,100
1232,-10
1233,100
1234,-10
1235,100
1236,-10
1237,100
1238,-10
1239,100
1240,-10
1241,-10
1242,-10
1243,-10
1244,-10
1245,100
1246,100
1247,100
1248,100
1249,-10
1250,100
1251,100
1252,-10
1253,100
1254,-10
1255,-10
1256,-10
1257,-10
1258,-10
1259,-10
1260,100
1261,100
1262,-10
1263,-10
1264,-10
1265,100
1266,100
1267,100
1268,-10
1269,-10
1270,100
1271,-10
1272,100
1273,-10
1274,-10
1275,100
1276,-10
1277,-10
1278,-10
1279,100
1280,-10
1281,-10
1282,-10
1283,100
1284,-10
1285,100
1286,-10
1287,-10
1288,100
1289,-10
1290,100
1291,100
1292,-10
1293,-10
1294,-10
1295,-10
1296,100
1297,-10
1298,-10
1299,-10
1300,-10
1301,100
1302,-10
1303,100
1304,100
1305,-10
1306,-10
1307,100
1308,-10
1309,-10
1310,100
1311,100
1312,100
1313,-10
1314,100
1315,-10
1316,-10
1317,-10
1318,100
1319,-10
1320,-10
1321,-10
1322,100
1323,-10
1324,-10
1325,-10
1326,100
1327,-10
1328,-10
1329,-10
1330,-10
1331,-10
1332,100
1333,-10
1334,-10
1335,100
1336,-10
1337,-10
1338,-10
1339,100
1340,100
1341,-10
1342,100
1343,100
1344,-10
1345,100
1346,-10
1347,-10
1348,-10
1349,100
1350,100
1351,-10
1352,100
1353,-10
1354,100
1355,-10
1356,100
1357,100
1358,-10
1359,-10
1360,-10
1361,100
1362,100
1363,-10
1364,100
1365,100
1366,100
1367,-10
1368,100
1369,100
1370,-10
1371,100
1372,100
1373,-10
1374,-10
1375,-10
1376,-10
1377,100
1378,100
1379,100
1380,-10
1381,-10
1382,100
1383,100
1384,100
1385,100
1386,-10
1387,-10
1388,100
1389,100
1390,-10
1391,-10
1392,100
1393,100
1394,100
1395,100
1396,100
1397,-10
1398,100
1399,-10
1400,100
1401,-10
1402,-10
1403,-10
1404,-10
1405,100
1406,-10
1407,100
1408,-10
1409,100
1410,-10
1411,100
1412,100
1413,-10
1414,-10
1415,-10
1416,-10
1417,-10
1418,100
1419,100
1420,100
1421,100
1422,-10
1423,-10
1424,100
1425,-10
1426,100
1427,-10
1428,-10
1429,100
1430,-10
1431,-10
1432,100
1433,100
1434,-10
1435,100
1436,100
1437,-10
1438,-10
1439,-10
1440,-10
1441,100
1442,-10
1443,-10
1444,-10
1445,100
1446,-10
1447,100
1448,100
1449,-10
1450,100
1451,100
1452,-10
1453,-10
1454,-10
1455,100
1456,100
1457,100
1458,-10
1459,100
1460,-10
1461,-10
1462,100
1463,-10
1464,-10
1465,-10
1466,100
1467,-10
1468,-10
1469,100
1470,-10
1471,-10
1472,-10
1473,100
1474,-10
1475,100
1476,-10
1477,100
1478,-10
1479,100
1480,100
1481,100
1482,-10
1483,-10
1484,100
1485,-10
1486,100
1487,100
1488,-10
1489,-10
1490,100
1491,-10
1492,-10
1493,-10
1494,-10
1495,-10
1496,100
1497,100
1498,-10
1499,100
1500,-10
1501,100
1502,-10
1503,-10
1504,-10
1505,-10
1506,-10
1507,-10
1508,100
1509,-10
1510,-10
1511,100
1512,-10
1513,100
1514,-10
1515,-10
1516,100
1517,-10
1518,-10
1519,-10
1520,100
1521,100
1522,100
1523,100
1524,100
1525,100
1526,100
1527,-10
1528,100
1529,100
1530,100
1531,100
1532,100
1533,-10
1534,-10
1535,-10
1536,-10
1537,100
1538,100
1539,100
1540,-10
1541,-10
1542,-10
1543,100
1544,100
1545,-10
1546,-10
1547,-10
1548,100
1549,100
1550,100
1551,100
1552,100
1553,-10
1554,100
1555,100
1556,100
1557,100
1558,100
1559,-10
1560,100
1561,100
1562,100
1563,100
1564,100
1565,-10
1566,100
1567,-10
1568,-10
1569,100
1570,-10
1571,-10
1572,100
1573,100
1574,100
1575,-10
1576,100
1577,-10
1578,-10
1579,100
1580,100
1581,100
1582,-10
1583,100
1584,100
1585,100
1586,100
1587,100
1588,100
1589,100
1590,100
1591,100
1592,100
1593,100
1594,-10
1595,-10
1596,100
1597,100
1598,100
1599,100
1600,100
1601,100
1602,100
1603,100
1604,-10
1605,-10
1606,-10
1607,100
1608,100
1609,-10
1610,-10
1611,100
1612,-10
1613,-10
1614,100
1615,100
1616,100
1617,100
1618,100
1619,100
1620,100
1621,100
1622,100
1623,100
1624,100
1625,-10
1626,100
1627,100
1628,100
1629,-10
1630,100
1631,-10
1632,100
1633,100
1634,100
1635,-10
1636,100
1637,100
1638,-10
1639,100
1640,-10
1641,-10
1642,100
1643,100
1644,100
1645,100
1646,100
1647,100
1648,100
1649,100
1650,100
1651,-10
1652,100
1653,100
1654,100
1655,100
1656,100
1657,100
1658,100
1659,100
1660,100
1661,100
1662,100
1663,100
1664,100
1665,-10
1666,100
1667,-10
1668,100
1669,100
1670,100
1671,100
1672,100
1673,-10
1674,100
1675,100
1676,100
1677,100
1678,100
1679,100
1680,-10
1681,100
1682,-10
1683,-10
1684,100
1685,100
1686,100
1687,100
1688,-10
1689,100
1690,-10
1691,100
1692,100
1693,100
1694,100
1695,100
1696,100
1697,100
1698,100
1699,100
1700,100
1701,100
1702,100
1703,100
1704,-10
1705,100
1706,-10
1707,100
1708,-10
1709,100
1710,-10
1711,100
1712,100
1713,100
1714,100
1715,100
1716,100
1717,100
1718,100
1719,100
1720,100
1721,-10
1722,100
1723,-10
1724,100
1725,100
1726,-10
1727,100
1728,100
1729,100
1730,100
1731,100
1732,100
1733,100
1734,-10
1735,100
1736,100
1737,100
1738,-10
1739,100
1740,-10
1741,100
1742,100
1743,100
1744,100
1745,-10
1746,100
1747,-10
1748,100
1749,100
1750,100
1751,100
1752,-10
1753,100
1754,-10
1755,100
1756,-10
1757,100
1758,100
1759,100
1760,100
1761,100
1762,-10
1763,100
1764,100
1765,100
1766,100
1767,-10
1768,100
1769,-10
1770,100
1771,-10
1772,100
1773,-10
1774,100
1775,100
1776,100
1777,100
1778,100
1779,100
1780,100
1781,100
1782,100
1783,100
1784,-10
1785,100
1786,100
1787,100
1788,100
1789,100
1790,100
1791,-10
1792,100
1793,100
1794,100
1795,100
1796,100
1797,100
1798,-10
1799,-10
1800,-10
1801,100
1802,-10
1803,100
1804,100
1805,100
1806,-10
1807,100
1808,100
1809,100
1810,100
1811,-10
1812,100
1813,100
1814,100
1815,-10
1816,-10
1817,100
1818,-10
1819,100
1820,-10
1821,-10
1822,100
1823,100
1824,100
1825,-10
1826,100
1827,100
1828,100
1829,100
1830,-10
1831,100
1832,100
1833,-10
1834,100
1835,-10
1836,100
1837,-10
1838,100
1839,100
1840,100
1841,-10
1842,100
1843,-10
1844,-10
1845,100
1846,-10
1847,100
1848,-10
1849,-10
1850,-10
1851,100
1852,100
1853,-10
1854,100
1855,100
1856,100
1857,100
1858,-10
1859,100
1860,100
1861,100
1862,100
1863,100
1864,-10
1865,100
1866,100
1867,100
1868,100
1869,-10
1870,100
1871,-10
1872,100
1873,-10
1874,100
1875,100
1876,100
1877,100
1878,-10
1879,100
1880,100
1881,-10
1882,100
1883,100
1884,100
1885,100
1886,100
1887,100
1888,-10
1889,-10
1890,100
1891,-10
1892,100
1893,100
1894,-10
1895,-10
1896,-10
1897,-10
1898,100
1899,100
1900,100
1901,-10
1902,100
1903,-10
1904,-10
1905,-10
1906,-10
1907,100
1908,100
1909,100
1910,100
1911,-10
1912,100
1913,-10
1914,-10
1915,100
1916,-10
1917,-10
1918,100
1919,100
1920,100
1921,100
1922,100
1923,-10
1924,-10
1925,-10
1926,100
1927,100
1928,100
1929,100
1930,-10
1931,-10
1932,100
1933,100
1934,100
1935,100
1936,100
1937,-10
1938,100
1939,100
1940,-10
1941,100
1942,100
1943,100
1944,100
1945,100
1946,100
1947,-10
1948,100
1949,-10
1950,-10
1951,100
1952,-10
1953,100
1954,100
1955,100
1956,100
1957,100
1958,100
1959,100
1960,100
1961,100
1962,100
1963,100
1964,100
1965,-10
1966,100
1967,100
1968,100
1969,100
1970,100
1971,-10
1972,100
1973,100
1974,100
1975,100
1976,100
1977,100
1978,100
1979,100
1980,-10
1981,100
1982,100
1983,100
1984,-10
1985,100
1986,100
1987,-10
1988,100
1989,100
1990,-10
1991,100
1992,100
1993,100
1994,100
1995,100
1996,100
1997,100
1998,100
1999,100
2000,-10
2001,-10
2002,-10
2003,100
2004,-10
2005,100
2006,-10
2007,100
2008,100
2009,100
2010,100
2011,-10
2012,100
2013,-10
2014,-10
2015,100
2016,-10
2017,-10
2018,100
2019,100
2020,100
2021,100
2022,100
2023,-10
2024,100
2025,-10
2026,100
2027,100
2028,-10
2029,100
2030,100
2031,100
2032,100
2033,100
2034,100
2035,100
2036,100
2037,100
2038,100
2039,100
2040,100
2041,100
2042,100
2043,100
2044,100
2045,100
2046,100
2047,100
2048,100
2049,100
2050,100
2051,-10
2052,100
2053,100
2054,100
2055,100
2056,100
2057,100
2058,100
2059,-10
2060,100
2061,-10
2062,100
2063,-10
2064,100
2065,100
2066,100
2067,100
2068,100
2069,100
2070,100
2071,100
2072,100
2073,-10
2074,100
2075,100
2076,-10
2077,100
2078,100
2079,100
2080,-10
2081,100
2082,100
2083,100
2084,100
2085,100
2086,100
2087,-10
2088,-10
2089,100
2090,100
2091,-10
2092,100
2093,100
2094,100
2095,100
2096,100
2097,100
2098,100
2099,100
2100,-10
2101,-10
2102,-10
2103,100
2104,-10
2105,100
2106,-10
2107,100
2108,-10
2109,-10
2110,100
2111,100
2112,100
2113,100
2114,100
2115,100
2116,100
2117,100
2118,100
2119,100
2120,100
2121,100
2122,100
2123,100
2124,-10
2125,100
2126,-10
2127,100
2128,100
2129,-10
2130,-10
2131,100
2132,100
2133,100
2134,100
2135,100
2136,100
2137,100
2138,100
2139,100
2140,100
2141,100
2142,100
2143,100
2144,-10
2145,100
2146,100
2147,100
2148,-10
2149,100
2150,100
2151,100
2152,100
2153,100
2154,100
2155,100
2156,100
2157,100
2158,100
2159,-10
2160,100
2161,100
2162,100
2163,100
2164,100
2165,100
2166,100
2167,-10
2168,100
2169,100
2170,100
2171,100
2172,-10
2173,100
2174,100
2175,100
2176,100
2177,100
2178,100
2179,100
2180,-10
2181,100
2182,100
2183,100
2184,100
2185,100
2186,-10
2187,-10
2188,100
2189,100
2190,100
2191,100
2192,100
2193,100
2194,-10
2195,100
2196,100
2197,100
2198,100
2199,100
2200,100
2201,-10
2202,100
2203,100
2204,100
2205,100
2206,100
2207,100
2208,100
2209,100
2210,100
2211,100
2212,100
2213,100
2214,100
2215,-10
2216,100
2217,100
2218,-10
2219,100
2220,100
2221,100
2222,100
2223,-10
2224,-10
2225,100
2226,100
2227,100
2228,100
2229,100
2230,-10
2231,100
2232,-10
2233,100
2234,100
2235,-10
2236,100
2237,100
2238,-10
2239,100
2240,100
2241,100
2242,100
2243,100
2244,100
2245,100
2246,100
2247,-10
2248,100
2249,100
2250,100
2251,-10
2252,100
2253,-10
2254,-10
2255,100
2256,100
2257,-10
2258,100
2259,100
2260,100
2261,100
2262,100
2263,100
2264,100
2265,-10
2266,100
2267,-10
2268,100
2269,100
2270,100
2271,100
2272,100
2273,100
2274,100
2275,-10
2276,100
2277,100
2278,100
2279,100
2280,100
2281,100
2282,100
2283,100
2284,-10
2285,100
2286,100
2287,100
2288,100
2289,100
2290,100
2291,100
2292,-10
2293,-10
2294,100
2295,100
2296,100
2297,100
2298,100
2299,100
2300,100
2301,100
2302,100
2303,100
2304,100
2305,100
2306,100
2307,-10
2308,100
2309,100
2310,100
2311,100
2312,100
2313,100
2314,100
2315,100
2316,100
2317,100
2318,-10
2319,100
2320,100
2321,100
2322,100
2323,-10
2324,100
2325,100
2326,100
2327,100
2328,100
2329,100
2330,100
2331,100
2332,100
2333,100
2334,100
2335,100
2336,100
2337,100
2338,100
2339,100
2340,-10
2341,100
2342,100
2343,100
2344,100
2345,-10
2346,100
2347,100
2348,-10
2349,100
2350,100
2351,100
2352,100
2353,100
2354,100
2355,100
2356,100
2357,100
2358,100
2359,100
2360,100
2361,100
2362,100
2363,100
2364,100
2365,100
2366,100
2367,100
2368,100
2369,100
2370,100
2371,100
2372,100
2373,100
2374,-10
2375,100
2376,100
2377,100
2378,100
2379,100
2380,100
2381,100
2382,100
2383,100
2384,100
2385,100
2386,100
2387,100
2388,100
2389,100
2390,100
2391,-10
2392,100
2393,100
2394,100
2395,100
2396,100
2397,100
2398,100
2399,-10
2400,100
2401,100
2402,100
2403,100
2404,100
2405,100
2406,100
2407,100
2408,100
2409,100
2410,100
2411,100
2412,100
2413,100
2414,100
2415,100
2416,-10
2417,100
2418,100
2419,100
2420,100
2421,100
2422,100
2423,100
2424,100
2425,100
2426,100
2427,-10
2428,100
2429,100
2430,-10
2431,100
2432,-10
2433,100
2434,100
2435,100
2436,-10
2437,100
2438,100
2439,-10
2440,100
2441,100
2442,100
2443,100
2444,100
2445,100
2446,100
2447,100
2448,100
2449,100
2450,100
2451,100
2452,100
2453,100
2454,100
2455,100
2456,100
2457,100
2458,100
2459,100
2460,100
2461,100
2462,100
2463,100
2464,100
2465,100
2466,100
2467,100
2468,100
2469,100
2470,100
2471,100
2472,100
2473,100
2474,-10
2475,-10
2476,100
2477,100
2478,100
2479,100
2480,-10
2481,100
2482,100
2483,100
2484,100
2485,100
2486,100
2487,100
2488,100
2489,100
2490,100
2491,100
2492,100
2493,100
2494,100
2495,100
2496,100
2497,100
2498,100
2499,100
2500,100
2501,100
2502,100
2503,100
2504,100
2505,100
2506,100
2507,100
2508,100
2509,100
2510,100
2511,100
2512,100
2513,100
2514,100
2515,100
2516,100
2517,100
2518,100
2519,100
2520,100
2521,100
2522,100
2523,100
2524,100
2525,100
2526,100
2527,100
2528,100
2529,100
2530,100
2531,100
2532,-10
2533,100
2534,-10
2535,100
2536,100
2537,100
2538,100
2539,100
2540,-10
2541,100
2542,100
2543,100
2544,100
2545,100
2546,100
2547,100
2548,100
2549,100
2550,100
2551,100
2552,100
2553,100
2554,100
2555,100
2556,100
2557,100
2558,100
2559,100
2560,100
2561,100
2562,100
2563,100
2564,100
2565,100
2566,-10
2567,100
2568,100
2569,100
2570,100
2571,100
2572,100
2573,100
2574,100
2575,100
2576,100
2577,100
2578,100
2579,100
2580,100
2581,100
2582,100
2583,100
2584,100
2585,100
2586,100
2587,100
2588,100
2589,100
2590,100
2591,100
2592,100
2593,100
2594,100
2595,-10
2596,100
2597,100
2598,100
2599,100
2600,100
2601,-10
2602,100
2603,100
2604,100
2605,100
2606,100
2607,100
2608,100
2609,100
2610,100
2611,100
2612,100
2613,100
2614,100
2615,100
2616,100
2617,100
2618,100
2619,100
2620,100
2621,100
2622,100
2623,100
2624,100
2625,100
2626,100
2627,-10
2628,100
2629,100
2630,100
2631,100
2632,100
2633,-10
2634,100
2635,100
2636,100
2637,100
2638,100
2639,100
2640,100
2641,100
2642,100
2643,100
2644,100
2645,100
2646,-10
2647,100
2648,100
2649,100
2650,100
2651,-10
2652,-10
2653,-10
2654,100
2655,100
2656,100
2657,100
2658,100
2659,100
2660,100
2661,100
2662,-10
2663,100
2664,-10
2665,100
2666,100
2667,100
2668,100
2669,100
2670,100
2671,100
2672,100
2673,100
2674,100
2675,100
2676,100
2677,100
2678,100
2679,-10
2680,100
2681,100
2682,100
2683,100
2684,100
2685,100
2686,100
2687,100
2688,100
2689,100
2690,-10
2691,100
2692,-10
2693,100
2694,100
2695,100
2696,100
2697,100
2698,100
2699,100
2700,100
2701,100
2702,100
2703,100
2704,100
2705,100
2706,100
2707,100
2708,100
2709,100
2710,-10
2711,100
2712,100
2713,100
2714,100
2715,100
2716,100
2717,100
2718,100
2719,100
2720,100
2721,100
