episode,scores
0,-10
1,-10
2,-10
3,-10
4,-10
5,-10
6,-10
7,-10
8,-10
9,100
10,-10
11,-10
12,-10
13,-10
14,-10
15,-10
16,-10
17,-10
18,100
19,-10
20,-10
21,-10
22,-10
23,-10
24,-10
25,-10
26,100
27,-10
28,-10
29,-10
30,-10
31,-10
32,100
33,-10
34,-10
35,-10
36,-10
37,100
38,-10
39,-10
40,-10
41,-10
42,-10
43,-10
44,-10
45,-10
46,-10
47,-10
48,-10
49,-10
50,-10
51,-10
52,-10
53,-10
54,-10
55,-10
56,-10
57,-10
58,-10
59,-10
60,-10
61,-10
62,-10
63,-10
64,-10
65,-10
66,-10
67,-10
68,-10
69,-10
70,-10
71,-10
72,-10
73,-10
74,-10
75,-10
76,-10
77,-10
78,-10
79,-10
80,-10
81,-10
82,-10
83,-10
84,-10
85,-10
86,-10
87,-10
88,-10
89,-10
90,-10
91,-10
92,-10
93,100
94,-10
95,-10
96,-10
97,-10
98,-10
99,-10
100,-10
101,-10
102,-10
103,-10
104,-10
105,-10
106,-10
107,-10
108,-10
109,-10
110,-10
111,-10
112,-10
113,-10
114,-10
115,-10
116,-10
117,-10
118,-10
119,-10
120,100
121,-10
122,-10
123,-10
124,-10
125,-10
126,-10
127,-10
128,-10
129,-10
130,-10
131,-10
132,-10
133,-10
134,-10
135,-10
136,-10
137,-10
138,-10
139,-10
140,-10
141,-10
142,-10
143,-10
144,-10
145,-10
146,-10
147,-10
148,-10
149,-10
150,-10
151,-10
152,-10
153,-10
154,-10
155,-10
156,-10
157,-10
158,-10
159,-10
160,-10
161,-10
162,-10
163,-10
164,-10
165,-10
166,-10
167,-10
168,-10
169,-10
170,-10
171,-10
172,-10
173,-10
174,-10
175,-10
176,-10
177,-10
178,-10
179,100
180,-10
181,-10
182,-10
183,-10
184,-10
185,100
186,-10
187,-10
188,-10
189,-10
190,-10
191,-10
192,-10
193,-10
194,-10
195,-10
196,-10
197,-10
198,-10
199,-10
200,-10
201,-10
202,-10
203,-10
204,-10
205,-10
206,-10
207,-10
208,-10
209,-10
210,-10
211,-10
212,-10
213,-10
214,-10
215,-10
216,-10
217,-10
218,-10
219,-10
220,-10
221,-10
222,-10
223,-10
224,-10
225,-10
226,-10
227,-10
228,-10
229,-10
230,-10
231,-10
232,-10
233,-10
234,-10
235,-10
236,-10
237,-10
238,-10
239,100
240,-10
241,-10
242,-10
243,-10
244,-10
245,100
246,-10
247,100
248,-10
249,-10
250,-10
251,-10
252,-10
253,-10
254,-10
255,-10
256,-10
257,-10
258,-10
259,-10
260,-10
261,-10
262,-10
263,-10
264,-10
265,-10
266,-10
267,-10
268,-10
269,-10
270,-10
271,-10
272,-10
273,-10
274,100
275,-10
276,-10
277,-10
278,-10
279,-10
280,-10
281,-10
282,-10
283,-10
284,-10
285,-10
286,-10
287,-10
288,-10
289,-10
290,-10
291,-10
292,-10
293,100
294,-10
295,-10
296,-10
297,-10
298,-10
299,-10
300,-10
301,-10
302,-10
303,-10
304,-10
305,-10
306,-10
307,-10
308,-10
309,-10
310,-10
311,-10
312,-10
313,-10
314,-10
315,-10
316,-10
317,100
318,-10
319,-10
320,100
321,-10
322,-10
323,-10
324,-10
325,-10
326,-10
327,100
328,-10
329,-10
330,100
331,-10
332,-10
333,-10
334,100
335,-10
336,-10
337,100
338,100
339,-10
340,-10
341,-10
342,-10
343,-10
344,100
345,-10
346,-10
347,100
348,-10
349,-10
350,-10
351,-10
352,-10
353,-10
354,-10
355,-10
356,-10
357,-10
358,-10
359,-10
360,-10
361,-10
362,-10
363,-10
364,-10
365,-10
366,-10
367,-10
368,100
369,100
370,-10
371,-10
372,-10
373,-10
374,-10
375,-10
376,-10
377,-10
378,-10
379,-10
380,-10
381,-10
382,-10
383,-10
384,-10
385,-10
386,-10
387,-10
388,-10
389,-10
390,100
391,-10
392,-10
393,-10
394,100
395,-10
396,-10
397,-10
398,-10
399,-10
400,-10
401,-10
402,-10
403,-10
404,-10
405,-10
406,100
407,100
408,-10
409,-10
410,-10
411,-10
412,100
413,-10
414,-10
415,-10
416,-10
417,-10
418,-10
419,-10
420,-10
421,100
422,-10
423,-10
424,-10
425,-10
426,-10
427,-10
428,-10
429,-10
430,-10
431,-10
432,-10
433,100
434,-10
435,-10
436,-10
437,-10
438,-10
439,-10
440,-10
441,-10
442,100
443,-10
444,-10
445,-10
446,-10
447,-10
448,-10
449,-10
450,-10
451,-10
452,-10
453,-10
454,100
455,-10
456,-10
457,-10
458,-10
459,-10
460,100
461,-10
462,-10
463,100
464,-10
465,-10
466,-10
467,-10
468,-10
469,-10
470,-10
471,-10
472,-10
473,-10
474,-10
475,-10
476,-10
477,-10
478,-10
479,-10
480,-10
481,-10
482,-10
483,-10
484,-10
485,100
486,-10
487,-10
488,-10
489,-10
490,-10
491,-10
492,-10
493,-10
494,-10
495,-10
496,-10
497,-10
498,-10
499,100
500,100
501,-10
502,-10
503,100
504,-10
505,-10
506,-10
507,-10
508,-10
509,-10
510,-10
511,-10
512,-10
513,-10
514,-10
515,100
516,-10
517,-10
518,-10
519,-10
520,-10
521,-10
522,-10
523,-10
524,100
525,100
526,-10
527,-10
528,-10
529,-10
530,100
531,-10
532,-10
533,-10
534,100
535,-10
536,-10
537,-10
538,-10
539,-10
540,-10
541,100
542,100
543,100
544,100
545,-10
546,-10
547,-10
548,-10
549,-10
550,100
551,-10
552,-10
553,-10
554,100
555,-10
556,-10
557,-10
558,-10
559,-10
560,-10
561,100
562,100
563,-10
564,-10
565,100
566,100
567,-10
568,-10
