,scores,steps
406,-10,7417
407,-10,7437
408,-10,7443
409,-10,7452
410,-10,7468
411,100,7472
412,-10,7482
413,-10,7500
414,-10,7515
415,-10,7522
416,-10,7535
417,100,7540
418,-10,7561
419,-10,7602
420,-10,7620
421,-10,7640
422,-10,7670
423,-10,7681
424,-10,7702
425,-10,7730
426,-10,7739
427,-10,7752
428,-10,7776
429,-10,7808
430,-10,7827
431,-10,7833
432,-10,7849
433,-10,7854
434,-10,7895
435,-10,7899
436,100,7902
437,100,7905
438,-10,7915
439,100,7939
440,-10,7948
441,100,7953
442,-10,7970
443,-10,7977
444,-10,7989
445,100,7993
446,100,7996
447,100,7999
448,100,8002
449,-10,8008
450,100,8056
451,-10,8062
452,-10,8083
453,-10,8091
454,-10,8102
455,100,8107
456,100,8112
457,-10,8123
458,-10,8147
459,-10,8201
460,100,8216
461,100,8220
462,-10,8294
463,-10,8303
464,-10,8333
465,-10,8353
466,-10,8362
467,-10,8384
468,-10,8408
469,-10,8429
470,-10,8444
471,100,8449
472,-10,8478
473,100,8483
474,-10,8499
475,-10,8515
476,-10,8538
477,-10,8553
478,100,8569
479,-10,8582
480,-10,8599
481,-10,8613
482,-10,8655
483,-10,8664
484,-10,8684
485,-10,8698
486,-10,8716
487,-10,8729
488,-10,8738
489,-10,8762
490,-10,8798
491,-10,8816
492,-10,8826
493,-10,8835
494,-10,8844
495,-10,8864
496,-10,8875
497,-10,8927
498,-10,8932
499,-10,8951
500,100,9014
501,-10,9029
502,100,9034
503,-10,9051
504,100,9056
505,-10,9068
506,-10,9084
507,-10,9093
508,-10,9108
509,-10,9118
510,-10,9146
511,-10,9154
512,100,9158
513,100,9164
514,-10,9170
515,-10,9179
516,100,9194
517,-10,9200
518,-10,9211
519,-10,9216
520,100,9222
521,-10,9248
522,-10,9260
523,-10,9283
524,-10,9303
525,100,9306
526,100,9330
527,100,9336
528,100,9341
529,100,9349
530,-10,9382
531,-10,9397
532,-10,9405
533,-10,9414
534,-10,9420
535,-10,9440
536,-10,9458
537,-10,9475
538,-10,9489
539,-10,9500
540,-10,9506
541,-10,9517
542,-10,9541
543,-10,9549
544,-10,9563
545,-10,9573
546,-10,9587
547,-10,9627
548,-10,9653
549,100,9670
550,-10,9680
551,100,9690
552,-10,9710
553,-10,9763
554,-10,9771
555,100,9775
556,-10,9792
557,-10,9803
558,-10,9818
559,-10,9840
560,-10,9856
561,100,9863
562,-10,9871
563,100,9874
564,100,9878
565,-10,9891
566,-10,9905
567,100,9915
568,-10,9934
569,100,9937
570,-10,9954
571,100,9962
572,-10,9990
573,-10,10004
574,100,10021
575,100,10031
576,-10,10086
577,-10,10104
578,100,10110
579,-10,10127
580,100,10133
581,-10,10140
582,-10,10166
583,-10,10179
584,-10,10203
585,-10,10215
586,-10,10228
587,100,10235
588,100,10264
589,-10,10276
590,100,10286
591,-10,10324
592,100,10328
593,100,10333
594,-10,10339
595,-10,10350
596,-10,10373
597,100,10376
598,-10,10391
599,-10,10431
