,scores,steps
721,100,18948
722,100,18958
723,100,18970
724,100,18988
725,100,19006
726,100,19007
727,100,19020
728,100,19033
729,100,19043
730,100,19055
731,100,19072
732,100,19082
733,100,19091
734,100,19103
735,100,19116
736,100,19122
737,100,19144
738,100,19151
739,100,19159
740,100,19171
741,100,19198
742,100,19209
743,100,19224
744,100,19242
745,100,19266
746,100,19267
747,100,19283
748,100,19294
749,100,19308
750,100,19321
751,100,19336
752,100,19352
753,100,19372
754,100,19384
755,100,19398
756,100,19414
757,100,19427
758,100,19440
759,100,19443
760,100,19455
761,100,19473
762,100,19489
763,100,19503
764,100,19531
765,100,19532
766,100,19552
767,100,19569
768,100,19591
769,100,19604
770,100,19618
771,100,19629
772,100,19645
773,100,19656
774,100,19664
775,100,19680
776,100,19695
777,100,19707
778,100,19720
779,100,19736
780,100,19749
781,100,19761
782,100,19775
783,100,19794
784,100,19795
785,100,19796
786,100,19797
787,100,19808
788,100,19810
789,100,19811
790,100,19834
791,100,19855
792,100,19868
793,100,19887
794,100,19900
795,100,19907
796,100,19921
797,100,19937
798,100,19961
799,100,19963
800,100,19981
801,100,19982
802,100,20002
803,100,20018
804,100,20032
805,100,20052
806,100,20068
807,100,20087
808,100,20103
809,100,20119
810,100,20134
811,100,20147
812,100,20148
813,100,20162
814,100,20181
815,100,20198
816,100,20202
817,100,20203
818,100,20225
819,100,20226
820,-10,20227
821,100,20236
822,100,20249
823,100,20262
824,100,20276
825,100,20294
826,100,20324
827,100,20353
828,100,20367
829,100,20382
830,100,20398
831,100,20413
832,100,20422
833,100,20435
834,100,20448
835,100,20463
836,100,20478
837,100,20482
838,100,20489
839,100,20499
840,100,20512
841,100,20513
842,100,20530
843,100,20547
844,100,20564
845,100,20576
846,100,20593
847,100,20608
848,100,20621
849,100,20638
850,100,20646
851,100,20660
852,100,20674
853,100,20684
854,100,20700
855,100,20718
856,100,20730
857,100,20746
858,100,20754
859,100,20764
860,100,20774
861,100,20784
862,100,20800
863,100,20817
864,100,20827
865,100,20833
866,100,20847
867,100,20857
868,100,20873
869,100,20884
870,100,20903
871,100,20917
872,100,20922
873,-10,20925
874,100,20946
875,100,20967
876,-10,20968
877,100,20979
878,-10,20981
879,100,20989
